"Start";"Duration";"Pitch";"Velocity";"Label"
0.25;0.23;67.0;1.0;"Right Hand"
0.25;0.23;55.0;1.0;"Right Hand"
0.25;0.23;43.0;1.0;"Left Hand"
0.5;0.23;67.0;1.0;"Right Hand"
0.5;0.23;55.0;1.0;"Right Hand"
0.5;0.23;43.0;1.0;"Left Hand"
0.75;0.23;67.0;1.0;"Right Hand"
0.75;0.23;55.0;1.0;"Right Hand"
0.75;0.23;43.0;1.0;"Left Hand"
1.0;0.97;63.0;1.0;"Right Hand"
1.0;0.97;51.0;1.0;"Right Hand"
1.0;0.97;39.0;1.0;"Left Hand"
2.25;0.23;65.0;1.0;"Right Hand"
2.25;0.23;53.0;1.0;"Right Hand"
2.25;0.23;41.0;1.0;"Left Hand"
2.5;0.23;65.0;1.0;"Right Hand"
2.5;0.23;53.0;1.0;"Right Hand"
2.5;0.23;41.0;1.0;"Left Hand"
2.75;0.23;65.0;1.0;"Right Hand"
2.75;0.23;53.0;1.0;"Right Hand"
2.75;0.23;41.0;1.0;"Left Hand"
3.0;1.97;62.0;1.0;"Right Hand"
3.0;1.97;50.0;1.0;"Left Hand"
3.0;1.97;38.0;1.0;"Left Hand"
