start;end;pitch;voice
1.26;1.929;65;1
1.26;1.929;65;2
1.26;1.929;53;3
1.26;1.929;53;4
1.93;1.974;67;1
1.93;1.974;67;2
1.93;1.974;55;3
1.93;1.974;55;4
1.975;2.079;65;1
1.975;2.079;65;2
1.975;2.079;53;3
1.975;2.079;53;4
2.08;2.269;64;1
2.08;2.269;64;2
2.08;2.269;52;3
2.08;2.269;52;4
2.27;2.519;65;1
2.27;2.519;65;2
2.27;2.519;53;3
2.27;2.519;53;4
2.52;3.019;60;1
2.52;3.019;60;2
2.52;3.019;48;3
2.52;3.019;48;4
3.74;4.369;65;1
3.74;4.369;65;2
3.74;4.369;53;3
3.74;4.369;53;4
4.37;4.414;67;1
4.37;4.414;67;2
4.37;4.414;55;3
4.37;4.414;55;4
4.415;4.519;65;1
4.415;4.519;65;2
4.415;4.519;53;3
4.415;4.519;53;4
4.52;4.709;64;1
4.52;4.709;64;2
4.52;4.709;52;3
4.52;4.709;52;4
4.71;4.919;65;1
4.71;4.919;65;2
4.71;4.919;53;3
4.71;4.919;53;4
4.92;5.419;62;1
4.92;5.419;62;2
4.92;5.419;50;3
4.92;5.419;50;4
6.24;6.829;77;1
6.24;8.159;70;2
6.24;7.439;62;3
6.24;7.439;50;4
6.83;6.954;79;1
6.955;7.039;77;1
7.04;7.229;76;1
7.23;7.439;77;1
7.44;8.159;79;1
7.44;9.159;60;3
7.44;8.659;52;4
8.16;8.659;70;1
8.16;8.659;67;2
8.66;9.599;69;1
8.66;9.599;65;2
8.66;9.159;53;4
9.16;9.599;62;3
9.16;9.599;50;4
9.6;9.814;74;1
9.6;9.814;70;2
9.6;9.939;55;3
9.6;9.939;46;4
9.815;9.939;70;1
9.815;9.939;67;2
9.94;10.819;69;1
9.94;10.819;65;2
9.94;10.149;60;3
9.94;11.259;48;4
10.15;10.379;59;3
10.38;10.569;60;3
10.57;10.819;59;3
10.82;11.259;67;1
10.82;11.259;64;2
10.82;11.259;60;3
11.26;11.949;65;1
11.26;11.949;65;2
11.26;11.949;53;3
11.26;11.949;53;4
11.95;11.994;67;1
11.95;11.994;67;2
11.95;11.994;55;3
11.95;11.994;55;4
11.995;12.099;65;1
11.995;12.099;65;2
11.995;12.099;53;3
11.995;12.099;53;4
12.1;12.309;64;1
12.1;12.309;64;2
12.1;12.309;52;3
12.1;12.309;52;4
12.31;12.519;65;1
12.31;12.519;65;2
12.31;12.519;53;3
12.31;12.519;53;4
12.52;13.019;60;1
12.52;13.019;60;2
12.52;13.019;48;3
12.52;13.019;48;4
13.72;14.369;65;1
13.72;14.369;65;2
13.72;14.369;53;3
13.72;14.369;53;4
14.37;14.414;67;1
14.37;14.414;67;2
14.37;14.414;55;3
14.37;14.414;55;4
14.415;14.479;65;1
14.415;14.479;65;2
14.415;14.479;53;3
14.415;14.479;53;4
14.48;14.709;64;1
14.48;14.709;64;2
14.48;14.709;52;3
14.48;14.709;52;4
14.71;14.939;65;1
14.71;14.939;65;2
14.71;14.939;53;3
14.71;14.939;53;4
14.94;15.439;62;1
14.94;15.439;62;2
14.94;15.439;50;3
14.94;15.439;50;4
16.18;16.749;77;1
16.75;16.794;79;1
16.795;16.919;77;1
16.92;17.149;76;1
17.15;17.339;77;1
17.34;18.159;81;1
17.34;18.564;76;2
17.34;18.564;70;3
17.34;18.564;61;4
18.16;18.564;79;1
18.565;19.089;79;1
19.09;19.154;81;1
19.155;19.279;79;1
19.28;19.449;78;1
19.45;19.699;79;1
19.7;20.559;82;1
19.7;20.899;72;2
19.7;20.899;75;3
19.7;20.899;66;4
20.56;20.899;81;1
20.9;21.469;81;1
21.47;21.534;82;1
21.535;21.659;81;1
21.66;21.789;79;1
21.79;22.039;81;1
22.04;22.709;84;1
22.04;22.709;75;2
22.04;22.709;66;3
22.04;22.709;58;4
22.71;22.939;82;1
22.71;22.939;74;2
22.71;22.939;67;3
22.71;22.939;58;4
22.94;23.09;81;1
22.94;23.09;72;2
22.94;23.09;69;3
22.94;23.09;58;4
23.09;23.339;79;1
23.09;23.339;70;2
23.09;23.339;70;3
23.09;23.339;58;4
23.34;24.139;77;1
23.34;24.139;69;2
23.34;24.139;72;3
23.34;24.139;60;4
24.14;24.17;79;1
24.14;24.17;70;2
24.14;24.639;64;3
24.14;24.639;48;4
24.171;24.201;77;1
24.171;24.201;69;2
24.202;24.233;76;1
24.202;24.233;67;2
24.234;24.264;77;1
24.234;24.264;69;2
24.265;24.389;81;1
24.265;24.389;72;2
24.39;24.639;79;1
24.39;24.639;70;2
24.64;25.139;77;1
24.64;25.139;69;2
24.64;25.139;65;3
24.64;25.139;53;4
25.88;26.349;60;2
26.35;26.434;62;2
26.435;26.559;60;2
26.56;26.709;59;2
26.71;26.959;60;2
26.96;27.589;77;1
26.96;27.779;63;2
26.96;28.139;68;3
26.96;28.139;59;4
27.59;27.654;79;1
27.655;27.779;77;1
27.78;28.029;76;1
27.78;28.139;62;2
28.03;28.139;77;1
28.14;28.729;62;2
28.73;28.794;63;2
28.795;28.899;62;2
28.9;29.109;61;2
29.11;29.299;62;2
29.3;29.829;79;1
29.3;30.079;65;2
29.3;30.479;58;3
29.3;30.479;48;4
29.83;29.954;81;1
29.955;30.079;79;1
30.08;30.289;78;1
30.08;30.479;64;2
30.29;30.479;79;1
30.48;31.009;67;2
31.01;31.134;69;2
31.135;31.219;67;2
31.22;31.409;66;2
31.41;31.619;67;2
31.62;32.209;84;1
31.62;32.339;70;2
31.62;32.339;63;3
31.62;32.339;53;4
32.21;32.228;86;1
32.228;32.339;84;1
32.34;32.509;83;1
32.34;32.759;69;2
32.34;32.759;63;3
32.34;32.759;41;4
32.51;32.759;84;1
32.76;33.309;86;1
32.76;33.499;72;2
32.76;33.499;66;3
32.76;33.499;58;4
33.31;33.434;87;1
33.435;33.499;86;1
33.5;33.709;85;1
33.5;33.939;70;2
33.5;33.939;67;3
33.5;33.939;46;4
33.71;33.939;86;1
33.94;34.299;88;1
33.94;34.153;69;2
33.94;34.299;58;3
33.94;34.299;48;4
34.153;34.299;67;2
34.3;34.739;88;1
34.3;34.549;69;2
34.3;34.739;58;3
34.3;34.739;48;4
34.55;34.739;67;2
34.74;35.219;88;1
34.74;34.989;69;2
34.74;35.219;58;3
34.74;35.219;48;4
34.99;35.219;67;2
35.22;35.719;89;1
35.22;35.469;65;2
35.22;35.469;57;3
35.22;35.719;41;4
35.47;35.719;57;2
35.47;35.719;65;2
35.47;35.719;60;3
35.72;35.969;57;2
35.72;35.969;65;2
35.72;35.969;60;3
35.97;36.219;57;2
35.97;36.219;65;2
35.97;36.219;60;3
36.22;36.338;57;2
36.22;36.338;65;2
36.22;36.338;60;3
36.338;36.352;57;2
36.338;36.352;65;2
36.338;36.352;60;3
36.352;37.539;57;2
36.352;37.539;65;2
36.352;36.365;60;3
36.352;36.789;48;4
36.366;36.539;60;3
36.54;36.789;60;3
36.79;37.039;69;1
36.79;37.039;60;3
36.79;36.914;50;4
36.915;37.039;48;4
37.04;37.101;69;1
37.04;37.289;60;3
37.04;37.289;47;4
37.102;37.164;70;1
37.165;37.226;69;1
37.227;37.289;70;1
37.29;37.351;69;1
37.29;37.539;60;3
37.29;37.539;48;4
37.352;37.414;70;1
37.415;37.476;67;1
37.477;37.539;69;1
37.54;38.269;72;1
37.54;38.679;55;2
37.54;38.679;64;2
37.54;38.679;60;3
37.54;38.039;36;4
38.27;38.499;70;1
38.5;38.581;67;1
38.581;38.679;65;1
38.68;38.919;64;1
38.68;39.839;55;2
38.68;39.839;64;2
38.68;39.839;60;3
38.68;39.109;48;4
39.11;39.359;70;1
39.11;39.234;50;4
39.235;39.359;48;4
39.36;39.421;70;1
39.36;39.609;47;4
39.422;39.484;72;1
39.485;39.546;70;1
39.547;39.609;72;1
39.61;39.671;70;1
39.61;39.839;48;4
39.672;39.734;72;1
39.735;39.796;69;1
39.797;39.839;70;1
39.84;40.409;74;1
39.84;40.939;57;2
39.84;40.939;65;2
39.84;40.939;60;3
39.84;40.199;36;4
40.41;40.659;72;1
40.66;40.749;69;1
40.75;40.939;67;1
40.94;41.179;65;1
40.94;42.139;57;2
40.94;42.139;65;2
40.94;42.139;60;3
40.94;41.429;48;4
41.43;41.679;77;1
41.43;41.554;50;4
41.555;41.679;48;4
41.68;41.741;77;1
41.68;41.929;47;4
41.742;41.804;79;1
41.805;41.866;77;1
41.867;41.929;79;1
41.93;41.991;77;1
41.93;42.139;48;4
41.992;42.054;79;1
42.055;42.085;76;1
42.086;42.139;77;1
42.14;42.68;81;1
42.14;43.199;58;2
42.14;43.199;67;2
42.14;43.199;64;3
42.14;42.639;36;4
42.68;42.699;79;1
42.7;42.949;79;1
42.95;43.199;77;1
43.2;43.449;77;1
43.2;44.379;58;2
43.2;44.379;67;2
43.2;44.379;64;3
43.2;43.689;48;4
43.45;43.486;76;1
43.486;43.689;76;1
43.69;43.939;74;1
43.69;43.814;50;4
43.815;43.939;48;4
43.94;44.189;72;1
43.94;44.189;47;4
44.19;44.379;70;1
44.19;44.379;48;4
44.38;45.669;69;1
44.38;45.479;57;2
44.38;45.479;67;2
44.38;44.629;64;3
44.38;44.879;49;4
44.63;44.879;64;3
44.88;45.036;61;3
44.88;45.079;45;4
45.036;45.079;61;3
45.08;45.229;64;3
45.08;45.479;49;4
45.23;45.479;64;3
45.48;46.659;57;2
45.48;46.659;65;2
45.48;45.669;62;3
45.48;45.919;50;4
45.67;45.794;71;1
45.67;45.919;62;3
45.795;45.919;73;1
45.92;46.004;74;1
45.92;46.129;62;3
46.005;46.129;76;1
46.13;46.25;77;1
46.13;46.264;62;3
46.251;46.264;76;1
46.264;46.344;74;1
46.264;46.469;62;3
46.345;46.469;72;1
46.47;46.576;71;1
46.47;46.659;62;3
46.576;46.659;69;1
46.66;48.116;67;1
46.66;47.899;55;2
46.66;47.899;65;2
46.66;46.909;62;3
46.66;47.159;47;4
46.91;47.159;62;3
47.16;47.409;59;3
47.16;47.659;43;4
47.41;47.659;59;3
47.66;47.817;62;3
47.66;47.899;47;4
47.817;47.899;62;3
47.9;49.239;55;2
47.9;49.239;63;2
47.9;48.116;60;3
47.9;48.279;48;4
48.116;48.154;69;1
48.116;48.279;60;3
48.155;48.279;71;1
48.28;48.404;72;1
48.28;48.529;60;3
48.405;48.529;71;1
48.53;48.654;72;1
48.53;48.779;60;3
48.655;48.779;71;1
48.78;48.904;72;1
48.78;49.029;60;3
48.905;49.029;71;1
49.03;49.154;72;1
49.03;49.239;60;3
49.155;49.239;71;1
49.24;50.869;72;1
49.24;50.619;60;2
49.24;50.619;63;2
49.24;49.629;51;3
49.24;51.539;44;4
49.63;49.754;53;3
49.755;49.879;51;3
49.88;50.129;50;3
50.13;50.379;51;3
50.38;51.539;51;3
50.62;51.119;60;2
50.87;50.994;73;1
50.995;51.119;72;1
51.12;51.306;70;1
51.12;51.539;60;2
51.306;51.539;72;1
51.54;52.109;75;1
51.54;52.959;61;2
51.54;52.109;51;3
51.54;53.859;46;4
52.11;52.239;73;1
52.11;52.211;53;3
52.211;52.239;51;3
52.24;52.489;70;1
52.24;52.489;50;3
52.49;52.731;68;1
52.49;52.731;51;3
52.731;52.959;67;1
52.731;53.859;51;3
52.96;53.459;61;2
53.21;53.334;75;1
53.335;53.459;73;1
53.46;53.693;72;1
53.46;53.859;61;2
53.693;53.859;73;1
53.86;54.539;77;1
53.86;55.479;63;2
53.86;54.539;51;3
53.86;55.479;48;4
54.539;54.666;75;1
54.539;54.574;53;3
54.575;54.666;51;3
54.667;54.85;72;1
54.667;54.85;50;3
54.85;55.079;70;1
54.85;55.079;51;3
55.08;55.479;69;1
55.08;55.479;51;3
55.48;55.839;66;2
55.48;55.839;69;3
55.48;55.839;48;4
55.608;55.714;77;1
55.715;55.839;75;1
55.84;55.989;74;1
55.84;56.239;66;2
55.84;56.239;69;3
55.84;56.239;48;4
55.99;56.239;75;1
56.24;57.539;77;1
56.24;57.539;68;2
56.24;57.539;59;3
56.24;57.539;50;4
57.54;57.919;75;1
57.54;57.919;67;2
57.54;57.919;60;3
57.54;57.919;51;4
57.92;58.319;74;1
57.92;58.319;68;2
57.92;58.319;65;3
57.92;58.319;53;4
58.32;58.739;72;1
58.32;58.739;69;2
58.32;58.739;63;3
58.32;58.739;54;4
58.74;58.864;71;1
58.74;59.179;67;2
58.74;59.179;62;3
58.74;59.179;55;4
58.865;58.969;67;1
58.97;59.054;69;1
59.055;59.179;71;1
59.18;59.304;72;1
59.305;59.413;74;1
59.413;59.454;76;1
59.413;59.539;62;2
59.413;59.539;59;3
59.455;59.539;78;1
59.54;59.624;79;1
59.54;59.729;62;2
59.54;59.729;59;3
59.625;59.729;78;1
59.73;59.792;79;1
59.73;59.899;63;2
59.73;59.899;60;3
59.793;59.899;78;1
59.9;60.319;79;1
59.9;60.319;62;2
59.9;60.319;59;3
59.9;59.965;55;4
59.965;60.069;43;4
60.07;60.194;45;4
60.195;60.319;46;4
60.32;60.444;48;4
60.445;60.49;50;4
60.49;60.715;83;1
60.49;60.715;74;2
60.49;60.715;67;3
60.49;60.614;52;4
60.615;60.715;54;4
60.715;60.889;83;1
60.715;60.889;74;2
60.715;60.889;67;3
60.715;60.764;55;4
60.765;60.889;54;4
60.89;61.079;84;1
60.89;61.079;75;2
60.89;61.079;67;3
60.89;60.972;55;4
60.973;61.079;54;4
61.08;61.195;83;1
61.08;61.479;74;2
61.08;61.479;67;3
61.08;61.479;55;4
61.195;61.289;67;1
61.29;61.391;69;1
61.392;61.479;71;1
61.48;61.604;72;1
61.605;61.689;74;1
61.69;61.774;76;1
61.69;61.866;62;2
61.69;61.866;59;3
61.775;61.866;78;1
61.867;61.944;79;1
61.867;62.069;62;2
61.867;62.069;59;3
61.945;62.069;78;1
62.07;62.127;79;1
62.07;62.219;63;2
62.07;62.219;60;3
62.127;62.219;78;1
62.22;62.579;79;1
62.22;62.579;62;2
62.22;62.579;59;3
62.22;62.297;55;4
62.297;62.329;43;4
62.33;62.454;45;4
62.455;62.579;47;4
62.58;62.704;48;4
62.705;62.829;50;4
62.83;63.037;83;1
62.83;63.037;74;2
62.83;63.037;67;3
62.83;62.954;52;4
62.955;63.037;54;4
63.037;63.209;83;1
63.037;63.209;74;2
63.037;63.209;67;3
63.037;63.084;55;4
63.085;63.209;54;4
63.21;63.399;84;1
63.21;63.399;75;2
63.21;63.399;67;3
63.21;63.314;55;4
63.315;63.399;54;4
63.4;63.589;83;1
63.4;63.759;74;2
63.4;63.759;67;3
