start;end;pitch;pitchclass;instrument
1.24;1.7655;63;3;piano
1.24;1.7655;48;0;piano
1.24;1.7655;55;7;piano
1.7655;2.2709;63;3;piano
1.7655;2.2709;48;0;piano
1.7655;2.2709;55;7;piano
2.2709;2.7564;63;3;piano
2.2709;2.7564;48;0;piano
2.2709;2.7564;55;7;piano
2.7564;3.2802;75;3;piano
2.7564;3.2723;63;3;piano
2.7564;3.2723;48;0;piano
2.7564;3.2723;55;7;piano
3.3018;3.7764;74;2;piano
3.3018;3.7673;63;3;piano
3.3018;3.7673;48;0;piano
3.3018;3.7673;55;7;piano
3.7673;4.2418;72;0;piano
3.7673;4.2327;63;3;piano
3.7673;4.2327;48;0;piano
3.7673;4.2327;55;7;piano
4.2327;4.7086;67;7;piano
4.2327;4.7086;63;3;piano
4.2327;4.7382;48;0;piano
4.2327;4.7473;55;7;piano
4.7382;5.1918;63;3;piano
4.7382;5.3527;56;8;piano
4.7382;5.3527;59;11;piano
4.7382;5.2982;48;0;piano
4.7382;5.2982;53;5;piano
5.1845;5.3436;62;2;piano
5.3436;6.1389;55;7;piano
5.3436;6.1559;60;0;piano
5.3436;5.7891;48;0;piano
5.3436;5.7891;51;3;piano
5.7891;6.1945;48;0;piano
5.7891;6.1945;51;3;piano
6.1945;6.7105;55;7;piano
6.1945;6.74;48;0;piano
6.1945;6.74;51;3;piano
6.74;7.3225;56;8;piano
6.74;7.3225;59;11;piano
6.74;7.3225;62;2;piano
6.74;7.3055;48;0;piano
6.74;7.3055;53;5;piano
7.3055;8.1461;55;7;piano
7.3055;8.1632;60;0;piano
7.3055;7.8103;48;0;piano
7.3055;7.8103;51;3;piano
7.8103;8.2564;48;0;piano
7.8103;8.2564;51;3;piano
8.2564;8.7723;55;7;piano
8.2564;8.8018;48;0;piano
8.2564;8.8018;51;3;piano
8.8018;9.3873;60;0;piano
8.8018;9.3964;68;8;piano
8.8018;9.3964;72;0;piano
8.8018;9.3873;41;5;piano
8.8018;9.3873;48;0;piano
8.8018;9.3873;53;5;piano
9.3873;10.242;55;7;piano
9.3873;10.242;60;0;piano
9.3873;10.242;63;3;piano
9.3873;10.242;67;7;piano
9.3873;9.8527;43;7;piano
9.3873;9.8527;48;0;piano
9.3873;9.8527;51;3;piano
9.8527;10.298;43;7;piano
9.8527;10.298;48;0;piano
9.8527;10.298;51;3;piano
10.298;10.535;65;5;piano
10.298;10.996;60;0;piano
10.298;10.724;44;8;piano
10.298;10.724;48;0;piano
10.298;10.724;53;5;piano
10.531;10.728;63;3;piano
10.724;10.801;62;2;piano
10.724;11.249;44;8;piano
10.724;11.249;48;0;piano
10.724;11.249;53;5;piano
10.801;10.877;63;3;piano
10.877;11.001;62;2;piano
10.996;11.193;60;0;piano
11.249;11.755;55;7;piano
11.249;11.755;60;0;piano
11.249;11.755;43;7;piano
11.249;11.755;51;3;piano
11.755;12.3;55;7;piano
11.755;12.3;60;0;piano
11.755;12.3;43;7;piano
11.755;12.3;51;3;piano
12.3;12.845;55;7;piano
12.3;12.845;59;11;piano
12.3;12.845;43;7;piano
12.3;12.845;50;2;piano
12.845;13.411;55;7;piano
12.845;13.411;59;11;piano
12.845;13.411;43;7;piano
12.845;13.411;50;2;piano
13.411;13.956;60;0;piano
13.411;13.956;51;3;piano
13.411;13.956;55;7;piano
13.411;13.956;36;0;piano
13.411;13.956;48;0;piano
