start;f0
0;0
0.003;0
0.006;0
0.009;0
0.012;0
0.015;0
0.017;0
0.02;0
0.023;0
0.026;0
0.029;0
0.032;0
0.035;0
0.038;0
0.041;0
0.044;0
0.046;0
0.049;0
0.052;0
0.055;0
0.058;0
0.061;0
0.064;0
0.067;0
0.07;0
0.073;0
0.075;0
0.078;0
0.081;0
0.084;0
0.087;0
0.09;0
0.093;0
0.096;0
0.099;0
0.102;0
0.104;0
0.107;0
0.11;0
0.113;0
0.116;0
0.119;0
0.122;0
0.125;0
0.128;0
0.131;0
0.134;0
0.136;0
0.139;0
0.142;0
0.145;0
0.148;0
0.151;0
0.154;0
0.157;0
0.16;0
0.163;0
0.165;0
0.168;0
0.171;0
0.174;0
0.177;0
0.18;0
0.183;0
0.186;0
0.189;0
0.192;0
0.194;0
0.197;0
0.2;0
0.203;0
0.206;0
0.209;0
0.212;0
0.215;0
0.218;0
0.221;0
0.223;0
0.226;0
0.229;0
0.232;0
0.235;0
0.238;0
0.241;0
0.244;0
0.247;0
0.25;0
0.253;0
0.255;0
0.258;0
0.261;0
0.264;0
0.267;0
0.27;0
0.273;0
0.276;0
0.279;0
0.282;0
0.284;0
0.287;0
0.29;0
0.293;0
0.296;0
0.299;0
0.302;0
0.305;0
0.308;0
0.311;0
0.313;0
0.316;0
0.319;0
0.322;0
0.325;0
0.328;0
0.331;0
0.334;0
0.337;0
0.34;0
0.342;0
0.345;0
0.348;0
0.351;0
0.354;0
0.357;0
0.36;0
0.363;0
0.366;0
0.369;0
0.372;0
0.374;0
0.377;0
0.38;0
0.383;0
0.386;0
0.389;0
0.392;0
0.395;0
0.398;0
0.401;0
0.403;0
0.406;0
0.409;0
0.412;0
0.415;0
0.418;0
0.421;0
0.424;0
0.427;0
0.43;0
0.432;0
0.435;0
0.438;0
0.441;0
0.444;0
0.447;0
0.45;0
0.453;0
0.456;0
0.459;0
0.461;0
0.464;0
0.467;0
0.47;0
0.473;0
0.476;0
0.479;0
0.482;0
0.485;0
0.488;0
0.491;0
0.493;0
0.496;0
0.499;0
0.502;0
0.505;0
0.508;0
0.511;0
0.514;0
0.517;0
0.52;0
0.522;0
0.525;0
0.528;0
0.531;0
0.534;0
0.537;0
0.54;0
0.543;0
0.546;0
0.549;0
0.551;0
0.554;0
0.557;0
0.56;0
0.563;0
0.566;0
0.569;0
0.572;0
0.575;0
0.578;0
0.58;0
0.583;0
0.586;0
0.589;0
0.592;0
0.595;0
0.598;0
0.601;0
0.604;0
0.607;0
0.61;0
0.612;0
0.615;0
0.618;0
0.621;0
0.624;0
0.627;0
0.63;0
0.633;0
0.636;0
0.639;0
0.641;0
0.644;0
0.647;0
0.65;0
0.653;0
0.656;0
0.659;0
0.662;0
0.665;0
0.668;0
0.67;0
0.673;0
0.676;0
0.679;0
0.682;0
0.685;0
0.688;0
0.691;0
0.694;0
0.697;0
0.7;0
0.702;0
0.705;0
0.708;0
0.711;0
0.714;0
0.717;0
0.72;0
0.723;0
0.726;0
0.729;0
0.731;0
0.734;0
0.737;0
0.74;0
0.743;0
0.746;0
0.749;0
0.752;0
0.755;0
0.758;0
0.76;0
0.763;0
0.766;0
0.769;0
0.772;0
0.775;0
0.778;0
0.781;0
0.784;0
0.787;0
0.789;0
0.792;0
0.795;0
0.798;0
0.801;0
0.804;0
0.807;0
0.81;0
0.813;0
0.816;0
0.819;0
0.821;0
0.824;0
0.827;0
0.83;0
0.833;0
0.836;0
0.839;0
0.842;0
0.845;0
0.848;0
0.85;0
0.853;0
0.856;0
0.859;0
0.862;0
0.865;0
0.868;0
0.871;0
0.874;0
0.877;0
0.879;0
0.882;0
0.885;0
0.888;0
0.891;0
0.894;0
0.897;0
0.9;0
0.903;0
0.906;0
0.908;0
0.911;0
0.914;0
0.917;0
0.92;0
0.923;0
0.926;0
0.929;0
0.932;0
0.935;0
0.938;0
0.94;0
0.943;0
0.946;0
0.949;0
0.952;0
0.955;0
0.958;0
0.961;0
0.964;0
0.967;0
0.969;0
0.972;0
0.975;0
0.978;0
0.981;0
0.984;0
0.987;0
0.99;0
0.993;0
0.996;0
0.998;0
1.001;0
1.004;0
1.007;0
1.01;0
1.013;0
1.016;0
1.019;0
1.022;0
1.025;0
1.027;0
1.03;0
1.033;0
1.036;0
1.039;0
1.042;0
1.045;0
1.048;0
1.051;0
1.054;0
1.057;0
1.059;0
1.062;0
1.065;0
1.068;0
1.071;0
1.074;0
1.077;0
1.08;0
1.083;0
1.086;0
1.088;0
1.091;0
1.094;0
1.097;0
1.1;0
1.103;0
1.106;0
1.109;0
1.112;0
1.115;0
1.117;0
1.12;0
1.123;0
1.126;0
1.129;0
1.132;0
1.135;0
1.138;0
1.141;0
1.144;0
1.146;0
1.149;0
1.152;0
1.155;0
1.158;0
1.161;0
1.164;0
1.167;0
1.17;0
1.173;0
1.176;0
1.178;0
1.181;0
1.184;0
1.187;0
1.19;0
1.193;0
1.196;0
1.199;0
1.202;0
1.205;0
1.207;0
1.21;0
1.213;0
1.216;0
1.219;0
1.222;0
1.225;0
1.228;0
1.231;0
1.234;0
1.236;0
1.239;0
1.242;0
1.245;0
1.248;0
1.251;0
1.254;0
1.257;0
1.26;0
1.263;0
1.265;0
1.268;0
1.271;0
1.274;0
1.277;0
1.28;0
1.283;0
1.286;0
1.289;0
1.292;0
1.295;0
1.297;0
1.3;0
1.303;0
1.306;0
1.309;0
1.312;0
1.315;0
1.318;0
1.321;0
1.324;0
1.326;0
1.329;0
1.332;0
1.335;0
1.338;0
1.341;0
1.344;0
1.347;0
1.35;0
1.353;0
1.355;0
1.358;0
1.361;0
1.364;0
1.367;0
1.37;0
1.373;0
1.376;0
1.379;0
1.382;0
1.384;0
1.387;0
1.39;0
1.393;0
1.396;0
1.399;0
1.402;0
1.405;0
1.408;0
1.411;0
1.414;0
1.416;0
1.419;0
1.422;0
1.425;0
1.428;0
1.431;0
1.434;0
1.437;0
1.44;0
1.443;0
1.445;0
1.448;0
1.451;0
1.454;0
1.457;0
1.46;0
1.463;0
1.466;0
1.469;0
1.472;0
1.474;0
1.477;0
1.48;0
1.483;0
1.486;0
1.489;0
1.492;0
1.495;0
1.498;0
1.501;0
1.503;0
1.506;0
1.509;0
1.512;0
1.515;0
1.518;0
1.521;0
1.524;0
1.527;0
1.53;0
1.533;0
1.535;0
1.538;0
1.541;0
1.544;0
1.547;0
1.55;0
1.553;0
1.556;0
1.559;0
1.562;0
1.564;0
1.567;0
1.57;0
1.573;0
1.576;0
1.579;0
1.582;0
1.585;0
1.588;0
1.591;0
1.593;0
1.596;0
1.599;0
1.602;0
1.605;0
1.608;0
1.611;0
1.614;0
1.617;0
1.62;0
1.622;0
1.625;0
1.628;0
1.631;0
1.634;0
1.637;0
1.64;0
1.643;0
1.646;0
1.649;0
1.652;0
1.654;0
1.657;0
1.66;0
1.663;0
1.666;0
1.669;0
1.672;0
1.675;0
1.678;0
1.681;0
1.683;0
1.686;0
1.689;0
1.692;0
1.695;0
1.698;0
1.701;0
1.704;0
1.707;0
1.71;0
1.712;0
1.715;0
1.718;0
1.721;0
1.724;0
1.727;0
1.73;0
1.733;0
1.736;0
1.739;0
1.741;0
1.744;0
1.747;0
1.75;0
1.753;0
1.756;0
1.759;0
1.762;0
1.765;0
1.768;0
1.771;0
1.773;0
1.776;0
1.779;0
1.782;0
1.785;0
1.788;0
1.791;0
1.794;0
1.797;0
1.8;0
1.802;0
1.805;0
1.808;0
1.811;0
1.814;0
1.817;0
1.82;0
1.823;0
1.826;0
1.829;0
1.831;0
1.834;0
1.837;0
1.84;0
1.843;0
1.846;0
1.849;0
1.852;0
1.855;0
1.858;0
1.86;0
1.863;0
1.866;0
1.869;0
1.872;0
1.875;0
1.878;0
1.881;0
1.884;0
1.887;0
1.89;0
1.892;0
1.895;0
1.898;0
1.901;0
1.904;0
1.907;0
1.91;0
1.913;0
1.916;0
1.919;0
1.921;0
1.924;0
1.927;0
1.93;0
1.933;0
1.936;0
1.939;0
1.942;0
1.945;0
1.948;0
1.95;0
1.953;0
1.956;0
1.959;0
1.962;0
1.965;0
1.968;0
1.971;0
1.974;0
1.977;0
1.98;0
1.982;0
1.985;0
1.988;0
1.991;0
1.994;0
1.997;0
2;0
2.003;0
2.006;0
2.009;0
2.011;0
2.014;0
2.017;0
2.02;0
2.023;0
2.026;0
2.029;0
2.032;0
2.035;0
2.038;0
2.04;0
2.043;0
2.046;0
2.049;0
2.052;0
2.055;0
2.058;0
2.061;0
2.064;0
2.067;0
2.069;0
2.072;0
2.075;0
2.078;0
2.081;0
2.084;0
2.087;0
2.09;0
2.093;0
2.096;0
2.099;0
2.101;0
2.104;0
2.107;0
2.11;0
2.113;0
2.116;0
2.119;0
2.122;0
2.125;0
2.128;0
2.13;0
2.133;0
2.136;0
2.139;0
2.142;0
2.145;0
2.148;0
2.151;0
2.154;0
2.157;0
2.159;0
2.162;0
2.165;0
2.168;0
2.171;0
2.174;0
2.177;0
2.18;0
2.183;0
2.186;0
2.188;0
2.191;0
2.194;0
2.197;0
2.2;0
2.203;0
2.206;0
2.209;0
2.212;0
2.215;0
2.218;0
2.22;0
2.223;0
2.226;0
2.229;0
2.232;0
2.235;0
2.238;0
2.241;0
2.244;0
2.247;0
2.249;0
2.252;0
2.255;0
2.258;0
2.261;0
2.264;0
2.267;0
2.27;0
2.273;0
2.276;0
2.278;0
2.281;0
2.284;0
2.287;0
2.29;0
2.293;0
2.296;0
2.299;0
2.302;0
2.305;0
2.307;0
2.31;0
2.313;0
2.316;0
2.319;0
2.322;0
2.325;0
2.328;0
2.331;0
2.334;0
2.337;0
2.339;0
2.342;0
2.345;0
2.348;0
2.351;0
2.354;0
2.357;0
2.36;0
2.363;0
2.366;0
2.368;0
2.371;0
2.374;0
2.377;0
2.38;0
2.383;0
2.386;0
2.389;0
2.392;0
2.395;0
2.397;0
2.4;0
2.403;0
2.406;0
2.409;0
2.412;0
2.415;0
2.418;0
2.421;0
2.424;0
2.426;0
2.429;0
2.432;0
2.435;0
2.438;0
2.441;0
2.444;0
2.447;0
2.45;0
2.453;0
2.456;0
2.458;0
2.461;0
2.464;0
2.467;0
2.47;0
2.473;0
2.476;0
