time;frequency
0;0
0.0029025;0
0.005805;0
0.0087075;0
0.01161;0
0.014512;0
0.017415;0
0.020317;0
0.02322;0
0.026122;0
0.029025;0
0.031927;0
0.03483;0
0.037732;0
0.040635;0
0.043537;0
0.04644;0
0.049342;0
0.052245;0
0.055147;0
0.05805;615.11
0.060952;618.67
0.063855;622.25
0.066757;622.25
0.06966;625.86
0.072562;625.86
0.075465;625.86
0.078367;625.86
0.08127;625.86
0.084172;629.48
0.087075;629.48
0.089977;633.13
0.09288;629.48
0.095782;629.48
0.098685;629.48
0.10159;629.48
0.10449;625.86
0.10739;625.86
0.11029;625.86
0.1132;625.86
0.1161;625.86
0.119;625.86
0.1219;625.86
0.12481;622.25
0.12771;622.25
0.13061;622.25
0.13351;618.67
0.13642;618.67
0.13932;618.67
0.14222;618.67
0.14512;618.67
0.14803;618.67
0.15093;618.67
0.15383;618.67
0.15673;618.67
0.15964;618.67
0.16254;618.67
0.16544;622.25
0.16834;622.25
0.17125;622.25
0.17415;622.25
0.17705;625.86
0.17995;622.25
0.18286;625.86
0.18576;625.86
0.18866;625.86
0.19156;629.48
0.19447;633.13
0.19737;633.13
0.20027;633.13
0.20317;636.8
0.20608;636.8
0.20898;636.8
0.21188;640.49
0.21478;644.2
0.21769;647.93
0.22059;651.68
0.22349;655.46
0.22639;655.46
0.2293;655.46
0.2322;655.46
0.2351;659.26
0.238;663.07
0.24091;663.07
0.24381;666.92
0.24671;666.92
0.24961;666.92
0.25252;666.92
0.25542;666.92
0.25832;666.92
0.26122;670.78
0.26413;670.78
0.26703;674.66
0.26993;674.66
0.27283;670.78
0.27574;670.78
0.27864;670.78
0.28154;666.92
0.28444;666.92
0.28735;670.78
0.29025;670.78
0.29315;666.92
0.29605;663.07
0.29896;663.07
0.30186;663.07
0.30476;659.26
0.30766;659.26
0.31057;655.46
0.31347;655.46
0.31637;651.68
0.31927;647.93
0.32218;644.2
0.32508;640.49
0.32798;636.8
0.33088;629.48
0.33379;625.86
0.33669;625.86
0.33959;625.86
0.34249;622.25
0.3454;618.67
0.3483;615.11
0.3512;615.11
0.3541;611.56
0.35701;611.56
0.35991;608.04
0.36281;604.54
0.36571;597.6
0.36862;604.54
0.37152;604.54
0.37442;611.56
0.37732;618.67
0.38023;618.67
0.38313;622.25
0.38603;622.25
0.38893;618.67
0.39184;622.25
0.39474;622.25
0.39764;625.86
0.40054;629.48
0.40345;633.13
0.40635;640.49
0.40925;644.2
0.41215;647.93
0.41506;651.68
0.41796;651.68
0.42086;659.26
0.42376;663.07
0.42667;666.92
0.42957;674.66
0.43247;678.57
0.43537;678.57
0.43828;678.57
0.44118;682.5
0.44408;682.5
0.44698;686.46
0.44989;690.43
0.45279;694.43
0.45569;702.5
0.45859;706.57
0.4615;706.57
0.4644;702.5
0.4673;698.46
0.4702;698.46
0.47311;694.43
0.47601;694.43
0.47891;694.43
0.48181;694.43
0.48472;690.43
0.48762;686.46
0.49052;682.5
0.49342;682.5
0.49633;678.57
0.49923;674.66
0.50213;670.78
0.50503;666.92
0.50794;663.07
0.51084;655.46
0.51374;651.68
0.51664;647.93
0.51955;640.49
0.52245;633.13
0.52535;629.48
0.52825;622.25
0.53116;618.67
0.53406;615.11
0.53696;618.67
0.53986;615.11
0.54277;615.11
0.54567;615.11
0.54857;611.56
0.55147;608.04
0.55438;608.04
0.55728;608.04
0.56018;608.04
0.56308;611.56
0.56599;615.11
0.56889;618.67
0.57179;622.25
0.57469;622.25
0.5776;625.86
0.5805;625.86
0.5834;625.86
0.5863;629.48
0.58921;633.13
0.59211;636.8
0.59501;644.2
0.59791;644.2
0.60082;647.93
0.60372;647.93
0.60662;651.68
0.60952;655.46
0.61243;659.26
0.61533;663.07
0.61823;666.92
0.62113;670.78
0.62404;670.78
0.62694;674.66
0.62984;674.66
0.63274;678.57
0.63565;682.5
0.63855;686.46
0.64145;690.43
0.64435;694.43
0.64726;698.46
0.65016;694.43
0.65306;698.46
0.65596;698.46
0.65887;698.46
0.66177;698.46
0.66467;694.43
0.66757;690.43
0.67048;686.46
0.67338;686.46
0.67628;686.46
0.67918;678.57
0.68209;674.66
0.68499;670.78
0.68789;670.78
0.69079;666.92
0.6937;663.07
0.6966;659.26
0.6995;659.26
0.7024;655.46
0.70531;651.68
0.70821;644.2
0.71111;633.13
0.71401;625.86
0.71692;622.25
0.71982;618.67
0.72272;618.67
0.72562;618.67
0.72853;622.25
0.73143;618.67
0.73433;615.11
0.73723;615.11
0.74014;615.11
0.74304;618.67
0.74594;618.67
0.74884;622.25
0.75175;625.86
0.75465;625.86
0.75755;629.48
0.76045;633.13
0.76336;640.49
0.76626;647.93
0.76916;655.46
0.77206;655.46
0.77497;659.26
0.77787;659.26
0.78077;663.07
0.78367;666.92
0.78658;670.78
0.78948;674.66
0.79238;678.57
0.79528;682.5
0.79819;686.46
0.80109;694.43
0.80399;698.46
0.80689;706.57
0.8098;710.67
0.8127;714.78
0.8156;714.78
0.8185;714.78
0.82141;714.78
0.82431;714.78
0.82721;714.78
0.83011;714.78
0.83302;706.57
0.83592;694.43
0.83882;694.43
0.84172;674.66
0.84463;655.46
0.84753;633.13
0.85043;615.11
0.85333;590.73
0.85624;590.73
0.85914;573.91
0.86204;557.58
0.86494;529.33
0.86785;508.36
0.87075;479.82
0.87365;458.16
0.87655;452.89
0.87946;450.28
0.88236;447.69
0.88526;445.11
0.88816;437.47
0.89107;434.95
0.89397;427.47
0.89687;425.01
0.89977;420.13
0.90268;415.3
0.90558;415.3
0.90848;412.91
0.91138;412.91
0.91429;412.91
0.91719;412.91
0.92009;410.53
0.92299;410.53
0.9259;415.3
0.9288;422.56
0.9317;427.47
0.9346;432.44
0.93751;440
0.94041;450.28
0.94331;452.89
0.94621;460.81
0.94912;460.81
0.95202;466.16
0.95492;471.58
0.95782;471.58
0.96073;471.58
0.96363;471.58
0.96653;471.58
0.96943;471.58
0.97234;466.16
0.97524;452.89
0.97814;445.11
0.98104;437.47
0.98395;434.95
0.98685;425.01
0.98975;425.01
0.99265;425.01
0.99556;422.56
0.99846;422.56
1.0014;422.56
1.0043;422.56
1.0072;425.01
1.0101;427.47
1.013;427.47
1.0159;427.47
1.0188;427.47
1.0217;432.44
1.0246;432.44
1.0275;434.95
1.0304;434.95
1.0333;434.95
1.0362;434.95
1.0391;434.95
1.042;434.95
1.0449;434.95
1.0478;434.95
1.0507;434.95
1.0536;437.47
1.0565;437.47
1.0594;437.47
1.0623;437.47
1.0652;437.47
1.0681;437.47
1.071;434.95
1.0739;432.44
1.0768;425.01
1.0797;415.3
1.0826;412.91
1.0855;408.17
1.0884;403.48
1.0913;408.17
1.0942;410.53
1.0971;410.53
1.1;412.91
1.1029;412.91
1.1059;420.13
1.1088;415.3
1.1117;415.3
1.1146;415.3
1.1175;415.3
1.1204;415.3
1.1233;420.13
1.1262;420.13
1.1291;420.13
1.132;420.13
1.1349;420.13
1.1378;420.13
1.1407;420.13
1.1436;415.3
1.1465;412.91
1.1494;412.91
1.1523;410.53
1.1552;410.53
1.1581;410.53
1.161;403.48
1.1639;403.48
1.1668;403.48
1.1697;403.48
1.1726;403.48
1.1755;403.48
1.1784;403.48
1.1813;408.17
1.1842;410.53
1.1871;415.3
1.19;420.13
1.1929;422.56
1.1958;425.01
1.1987;427.47
1.2016;432.44
1.2045;432.44
1.2074;432.44
1.2103;434.95
1.2132;434.95
1.2161;437.47
1.219;440
1.222;440
1.2249;445.11
1.2278;445.11
1.2307;447.69
1.2336;447.69
1.2365;447.69
1.2394;447.69
1.2423;447.69
1.2452;445.11
1.2481;432.44
1.251;425.01
1.2539;415.3
1.2568;403.48
1.2597;392
1.2626;367.86
1.2655;0
1.2684;0
1.2713;0
1.2742;0
1.2771;0
1.28;0
1.2829;0
1.2858;0
1.2887;0
1.2916;0
1.2945;0
1.2974;0
1.3003;0
1.3032;0
1.3061;0
1.309;0
1.3119;0
1.3148;0
1.3177;0
1.3206;0
1.3235;0
1.3264;0
1.3293;0
1.3322;0
1.3351;0
1.338;0
1.341;0
1.3439;0
1.3468;0
1.3497;0
1.3526;0
1.3555;0
1.3584;0
1.3613;0
1.3642;0
1.3671;0
1.37;0
1.3729;0
1.3758;0
1.3787;0
1.3816;0
1.3845;0
1.3874;0
1.3903;0
1.3932;0
1.3961;0
1.399;0
1.4019;0
1.4048;0
1.4077;0
1.4106;0
1.4135;0
1.4164;0
1.4193;0
1.4222;0
1.4251;0
1.428;0
1.4309;0
1.4338;0
1.4367;0
1.4396;0
1.4425;0
1.4454;0
1.4483;0
1.4512;0
1.4541;0
1.4571;0
1.46;0
1.4629;0
1.4658;0
1.4687;0
1.4716;0
1.4745;0
1.4774;0
1.4803;0
1.4832;0
1.4861;0
1.489;0
1.4919;0
1.4948;0
1.4977;0
1.5006;0
1.5035;385.26
1.5064;383.04
1.5093;389.74
1.5122;387.49
1.5151;392
1.518;396.55
1.5209;401.16
1.5238;405.82
1.5267;410.53
1.5296;415.3
1.5325;420.13
1.5354;422.56
1.5383;427.47
1.5412;432.44
1.5441;432.44
1.547;434.95
1.5499;432.44
1.5528;427.47
1.5557;427.47
1.5586;422.56
1.5615;422.56
1.5644;408.17
1.5673;401.16
1.5702;387.49
1.5732;387.49
1.5761;387.49
1.579;389.74
1.5819;378.64
1.5848;0
1.5877;0
1.5906;0
1.5935;0
1.5964;0
1.5993;0
1.6022;0
1.6051;0
1.608;0
1.6109;0
1.6138;0
1.6167;0
1.6196;0
1.6225;0
1.6254;0
1.6283;0
1.6312;0
1.6341;0
1.637;0
1.6399;0
1.6428;0
1.6457;0
1.6486;0
1.6515;0
1.6544;0
1.6573;0
1.6602;0
1.6631;0
1.666;0
1.6689;0
1.6718;0
1.6747;0
1.6776;0
1.6805;0
1.6834;0
1.6863;0
1.6893;0
1.6922;0
1.6951;0
1.698;0
1.7009;0
1.7038;0
1.7067;0
1.7096;0
1.7125;0
1.7154;0
1.7183;0
1.7212;0
1.7241;0
1.727;0
1.7299;0
1.7328;0
1.7357;0
1.7386;0
1.7415;0
1.7444;0
1.7473;0
1.7502;0
1.7531;0
1.756;0
1.7589;0
1.7618;0
1.7647;0
1.7676;0
1.7705;0
1.7734;0
1.7763;0
1.7792;0
1.7821;0
1.785;0
1.7879;0
1.7908;0
1.7937;0
1.7966;0
1.7995;0
1.8024;0
1.8054;0
1.8083;0
1.8112;0
1.8141;318.4
1.817;318.4
1.8199;318.4
1.8228;320.24
1.8257;325.84
1.8286;329.63
1.8315;331.54
1.8344;331.54
1.8373;337.33
1.8402;339.29
1.8431;347.22
1.846;355.33
1.8489;361.54
1.8518;369.99
1.8547;369.99
1.8576;369.99
1.8605;369.99
1.8634;376.46
1.8663;376.46
1.8692;378.64
1.8721;378.64
1.875;385.26
1.8779;385.26
1.8808;385.26
1.8837;385.26
1.8866;389.74
1.8895;396.55
1.8924;403.48
1.8953;403.48
1.8982;403.48
1.9011;403.48
1.904;403.48
1.9069;403.48
1.9098;403.48
1.9127;403.48
1.9156;403.48
1.9185;401.16
1.9215;401.16
1.9244;398.85
1.9273;398.85
1.9302;408.17
1.9331;410.53
1.936;410.53
1.9389;410.53
1.9418;410.53
1.9447;408.17
1.9476;398.85
1.9505;401.16
1.9534;412.91
1.9563;412.91
1.9592;422.56
1.9621;420.13
1.965;412.91
1.9679;410.53
1.9708;403.48
1.9737;403.48
1.9766;403.48
1.9795;403.48
