"Start";"Duration";"Pitch";"Velocity";"Label"
0.5;0.5;69.0;1.0;"Clarinet in Bb"
0.5;0.5;69.0;1.0;"Clarinet in Bb"
0.5;0.5;55.0;1.0;"Contrabass"
0.5;0.5;55.0;1.0;"Viola"
0.5;0.5;67.0;1.0;"Violin I"
0.5;0.5;67.0;1.0;"Violin II"
0.5;0.5;43.0;1.0;"Violoncello"
1.0;0.5;69.0;1.0;"Clarinet in Bb"
1.0;0.5;69.0;1.0;"Clarinet in Bb"
1.0;0.5;55.0;1.0;"Contrabass"
1.0;0.5;55.0;1.0;"Viola"
1.0;0.5;67.0;1.0;"Violin I"
1.0;0.5;67.0;1.0;"Violin II"
1.0;0.5;43.0;1.0;"Violoncello"
1.5;0.5;69.0;1.0;"Clarinet in Bb"
1.5;0.5;69.0;1.0;"Clarinet in Bb"
1.5;0.5;55.0;1.0;"Contrabass"
1.5;0.5;55.0;1.0;"Viola"
1.5;0.5;67.0;1.0;"Violin I"
1.5;0.5;67.0;1.0;"Violin II"
1.5;0.5;43.0;1.0;"Violoncello"
2.0;2.0;65.0;1.0;"Clarinet in Bb"
2.0;2.0;65.0;1.0;"Clarinet in Bb"
2.0;2.0;51.0;1.0;"Contrabass"
2.0;2.0;51.0;1.0;"Viola"
2.0;2.0;63.0;1.0;"Violin I"
2.0;2.0;63.0;1.0;"Violin II"
2.0;2.0;39.0;1.0;"Violoncello"
4.5;0.5;67.0;1.0;"Clarinet in Bb"
4.5;0.5;67.0;1.0;"Clarinet in Bb"
4.5;0.5;53.0;1.0;"Contrabass"
4.5;0.5;53.0;1.0;"Viola"
4.5;0.5;65.0;1.0;"Violin I"
4.5;0.5;65.0;1.0;"Violin II"
4.5;0.5;41.0;1.0;"Violoncello"
5.0;0.5;67.0;1.0;"Clarinet in Bb"
5.0;0.5;67.0;1.0;"Clarinet in Bb"
5.0;0.5;53.0;1.0;"Contrabass"
5.0;0.5;53.0;1.0;"Viola"
5.0;0.5;65.0;1.0;"Violin I"
5.0;0.5;65.0;1.0;"Violin II"
5.0;0.5;41.0;1.0;"Violoncello"
5.5;0.5;67.0;1.0;"Clarinet in Bb"
5.5;0.5;67.0;1.0;"Clarinet in Bb"
5.5;0.5;53.0;1.0;"Contrabass"
5.5;0.5;53.0;1.0;"Viola"
5.5;0.5;65.0;1.0;"Violin I"
5.5;0.5;65.0;1.0;"Violin II"
5.5;0.5;41.0;1.0;"Violoncello"
6.0;2.0;64.0;1.0;"Clarinet in Bb"
6.0;2.0;64.0;1.0;"Clarinet in Bb"
6.0;2.0;50.0;1.0;"Contrabass"
6.0;2.0;50.0;1.0;"Viola"
6.0;2.0;62.0;1.0;"Violin I"
