start;duration;pitch;velocity;label
0.28;0.34;50;1;piano
0.62;0.53;50;1;piano
0.62;0.385;59;1;piano
0.62;0.38;55;1;piano
1;0.305;62;1;piano
1.15;0.15;52;1;piano
1.3;0.34;50;1;piano
1.3;0.324;67;1;piano
1.64;0.68;59;1;piano
1.64;0.385;59;1;piano
1.64;0.38;55;1;piano
2.02;0.305;62;1;piano
2.32;0.291;59;1;piano
2.32;0.324;67;1;piano
2.611;0.049;57;1;piano
2.66;0.78;55;1;piano
2.66;0.385;59;1;piano
2.66;0.38;52;1;piano
3.04;0.405;64;1;piano
3.44;0.3;55;1;piano
3.44;0.284;67;1;piano
3.74;0.425;59;1;piano
3.74;0.4;52;1;piano
4.14;0.345;64;1;piano
4.48;0.32;55;1;piano
4.48;0.304;67;1;piano
4.8;0.53;57;1;piano
4.8;0.345;60;1;piano
4.8;0.34;48;1;piano
5.14;0.365;64;1;piano
5.33;0.17;59;1;piano
5.5;0.3;57;1;piano
5.5;0.284;69;1;piano
5.8;0.57;62;1;piano
5.8;0.395;60;1;piano
5.8;0.36;50;1;piano
6.16;0.365;62;1;piano
6.37;0.15;64;1;piano
6.52;0.36;62;1;piano
6.52;0.331;66;1;piano
6.88;0.68;59;1;piano
6.88;0.365;59;1;piano
6.88;0.34;43;1;piano
7.22;0.345;62;1;piano
7.56;0.351;67;1;piano
7.94;0.465;71;1;piano
7.94;0.46;55;1;piano
8.4;0.2;67;1;piano
