start;beat
0.326;0.833
0.83;1
1.191;1.167
1.551;1.333
1.912;1.5
2.272;1.667
2.633;1.833
2.993;2
3.345;2.167
3.698;2.333
4.05;2.5
4.403;2.667
4.755;2.833
5.107;3
5.464;3.167
5.821;3.333
6.178;3.5
6.535;3.667
6.892;3.833
7.249;4
7.618;4.167
7.987;4.333
8.356;4.5
8.725;4.667
9.094;4.833
9.463;5
9.824;5.167
10.184;5.333
10.545;5.5
10.906;5.667
11.267;5.833
11.628;6
12.001;6.167
12.375;6.333
12.748;6.5
13.122;6.667
13.495;6.833
13.868;7
14.228;7.167
14.587;7.333
14.946;7.5
15.305;7.667
15.665;7.833
16.024;8
16.388;8.167
16.751;8.333
17.115;8.5
17.478;8.667
17.842;8.833
18.205;9
18.565;9.167
18.925;9.333
19.285;9.5
19.645;9.667
20.004;9.833
20.364;10
20.72;10.167
21.076;10.333
21.432;10.5
21.787;10.667
22.143;10.833
22.499;11
22.849;11.167
23.199;11.333
23.549;11.5
23.899;11.667
24.249;11.833
24.599;12
24.974;12.167
25.348;12.333
25.723;12.5
26.098;12.667
26.472;12.833
26.847;13
27.208;13.167
27.569;13.333
27.93;13.5
28.291;13.667
28.652;13.833
29.013;14
29.354;14.167
29.695;14.333
30.037;14.5
30.378;14.667
30.719;14.833
31.06;15
31.314;15.167
31.568;15.333
31.822;15.5
32.076;15.667
32.33;15.833
32.584;16
32.851;16.167
33.119;16.333
33.386;16.5
33.654;16.667
33.921;16.833
34.189;17
34.44;17.167
34.692;17.333
34.943;17.5
35.194;17.667
35.446;17.833
35.697;18
35.971;18.167
36.245;18.333
36.519;18.5
36.793;18.667
37.067;18.833
37.341;19
37.62;19.167
37.898;19.333
38.176;19.5
38.454;19.667
38.732;19.833
39.01;20
39.312;20.167
39.613;20.333
39.915;20.5
40.216;20.667
40.517;20.833
40.819;21
41.173;21.167
41.527;21.333
41.881;21.5
42.235;21.667
42.589;21.833
42.943;22
43.354;22.167
43.765;22.333
44.175;22.5
44.586;22.667
44.996;22.833
45.407;23
