start;end;pitch;velocity;duration;instrument
3.94;4.369;41;81;0.429;le
3.94;4.369;65;81;0.429;le
4.369;4.583;53;82;0.214;le
4.369;5.011;65;76;0.643;le
4.583;4.797;55;82;0.214;le
4.797;5.226;56;83;0.429;le
5.011;5.226;72;81;0.214;le
5.226;5.634;53;77;0.409;le
5.226;5.42;68;76;0.194;le
5.42;5.634;64;69;0.214;le
5.634;6.043;37;72;0.409;le
5.634;5.849;65;77;0.214;le
5.849;6.043;64;71;0.194;le
6.043;6.217;53;81;0.174;le
6.043;6.646;65;74;0.603;le
6.217;6.416;55;83;0.199;le
6.416;6.86;56;84;0.444;le
6.646;6.86;72;85;0.214;piano
6.86;7.289;53;76;0.429;piano
6.86;7.074;68;77;0.214;piano
7.074;7.289;64;69;0.214;piano
7.289;7.697;44;73;0.409;piano
7.289;7.43;65;77;0.141;piano
7.43;7.573;66;75;0.144;piano
7.573;7.697;64;70;0.124;piano
7.697;7.911;53;80;0.214;piano
7.697;8.3;65;74;0.603;piano
7.911;8.106;55;83;0.194;piano
8.106;8.514;56;84;0.409;piano
8.3;8.514;72;86;0.214;piano
8.514;8.903;53;76;0.389;piano
8.514;8.729;68;78;0.214;piano
